markerId,pointId,name,source,sceneCode,scenePayload,landingPath,pngFileName
"1","poi-01","景区大门","bsp","jqdm","s=bsp&scene=jqdm","pages/landing/index?s=bsp&scene=jqdm","01-jqdm-景区大门.png"
"2","poi-02","景区大门口左侧牌子","bsp","jqdmkzcpz","s=bsp&scene=jqdmkzcpz","pages/landing/index?s=bsp&scene=jqdmkzcpz","02-jqdmkzcpz-景区大门口左侧牌子.png"
"3","poi-03","步道分叉口立牌","bsp","bdfcklp","s=bsp&scene=bdfcklp","pages/landing/index?s=bsp&scene=bdfcklp","03-bdfcklp-步道分叉口立牌.png"
"4","poi-04","步道起点大石头","bsp","bdqddst","s=bsp&scene=bdqddst","pages/landing/index?s=bsp&scene=bdqddst","04-bdqddst-步道起点大石头.png"
"5","poi-05","火焰广场处地图","bsp","hygcdt","s=bsp&scene=hygcdt","pages/landing/index?s=bsp&scene=hygcdt","05-hygcdt-火焰广场处地图.png"
"6","poi-06","登山步道凿石料小景","bsp","dsbdzslxj","s=bsp&scene=dsbdzslxj","pages/landing/index?s=bsp&scene=dsbdzslxj","06-dsbdzslxj-登山步道凿石料小景.png"
"7","poi-07","登山步道起点左侧入口牌","bsp","dsbdqdzcrkp","s=bsp&scene=dsbdqdzcrkp","pages/landing/index?s=bsp&scene=dsbdqdzcrkp","07-dsbdqdzcrkp-登山步道起点左侧入口牌.png"
"8","poi-08","石桥边战鼓车","bsp","sqbzgc","s=bsp&scene=sqbzgc","pages/landing/index?s=bsp&scene=sqbzgc","08-sqbzgc-石桥边战鼓车.png"
"9","poi-09","翁万达广场 · 检票口","bsp","wwdgcjpk","s=bsp&scene=wwdgcjpk","pages/landing/index?s=bsp&scene=wwdgcjpk","09-wwdgcjpk-翁万达广场 · 检票口.png"
"10","poi-10","诗词牌子-14","bsp","scpz14","s=bsp&scene=scpz14","pages/landing/index?s=bsp&scene=scpz14","10-scpz14-诗词牌子-14.png"
"11","poi-11","铁桥边立牌（大炮陈列处）","bsp","tqblpdpclc","s=bsp&scene=tqblpdpclc","pages/landing/index?s=bsp&scene=tqblpdpclc","11-tqblpdpclc-铁桥边立牌（大炮陈列处）.png"
"12","poi-12","毛驴运输石料小景","bsp","mlysslxj","s=bsp&scene=mlysslxj","pages/landing/index?s=bsp&scene=mlysslxj","12-mlysslxj-毛驴运输石料小景.png"
"13","poi-13","诗词牌子-17","bsp","scpz17","s=bsp&scene=scpz17","pages/landing/index?s=bsp&scene=scpz17","13-scpz17-诗词牌子-17.png"
"14","poi-14","分叉路汇合点（大）","bsp","fclhhdd","s=bsp&scene=fclhhdd","pages/landing/index?s=bsp&scene=fclhhdd","14-fclhhdd-分叉路汇合点（大）.png"
"15","poi-15","四海镇 · 分叉点第一个竖牌（小）","bsp","shzfcddygsp","s=bsp&scene=shzfcddygsp","pages/landing/index?s=bsp&scene=shzfcddygsp","15-shzfcddygsp-四海镇 · 分叉点第一个竖牌（小）.png"
"16","poi-16","城上卫生间","bsp","cswsj","s=bsp&scene=cswsj","pages/landing/index?s=bsp&scene=cswsj","16-cswsj-城上卫生间.png"
"17","poi-17","军中帐小景","bsp","jzzxj","s=bsp&scene=jzzxj","pages/landing/index?s=bsp&scene=jzzxj","17-jzzxj-军中帐小景.png"
"18","poi-18","营盘城外牌","bsp","ypcwp","s=bsp&scene=ypcwp","pages/landing/index?s=bsp&scene=ypcwp","18-ypcwp-营盘城外牌.png"
"19","poi-19","营盘内二维码","bsp","ypnewm","s=bsp&scene=ypnewm","pages/landing/index?s=bsp&scene=ypnewm","19-ypnewm-营盘内二维码.png"
"20","poi-20","单片楼避雷针底座（内）","bsp","dplblzdzn","s=bsp&scene=dplblzdzn","pages/landing/index?s=bsp&scene=dplblzdzn","20-dplblzdzn-单片楼避雷针底座（内）.png"
"21","poi-21","九眼楼","bsp","jyl","s=bsp&scene=jyl","pages/landing/index?s=bsp&scene=jyl","21-jyl-九眼楼.png"
"22","poi-22","第一楼石碑","bsp","dylsb","s=bsp&scene=dylsb","pages/landing/index?s=bsp&scene=dylsb","22-dylsb-第一楼石碑.png"
"23","poi-23","碑刻区","bsp","bkq","s=bsp&scene=bkq","pages/landing/index?s=bsp&scene=bkq","23-bkq-碑刻区.png"
"24","poi-24","下山路第一处牌子（小）","bsp","xsldycpzx","s=bsp&scene=xsldycpzx","pages/landing/index?s=bsp&scene=xsldycpzx","24-xsldycpzx-下山路第一处牌子（小）.png"
"25","poi-25","下山第二块牌子（小）","bsp","xsedkpzx","s=bsp&scene=xsedkpzx","pages/landing/index?s=bsp&scene=xsedkpzx","25-xsedkpzx-下山第二块牌子（小）.png"
"26","poi-26","木亭子","bsp","mtz","s=bsp&scene=mtz","pages/landing/index?s=bsp&scene=mtz","26-mtz-木亭子.png"
